groupName,name,source_allowed_domains,source_start_urls,source_allowFollow,source_denyFollow,source_allowParse,source_denyParse,lastUpdate,parseCount
test3,ecclblog,ecclblog.law.ed.ac.uk,http://www.ecclblog.law.ed.ac.uk/,ecclblog.law.ed.ac.uk,,/20,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,hallandwilcox,hallandwilcox.com.au,http://www.hallandwilcox.com.au/news/Pages/default.aspx,hallandwilcox.com.au,,hallandwilcox.com.au,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,maddocks,maddocks.com.au,http://www.maddocks.com.au/reading-room,,,maddocks.com.au,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,kennedys-law,kennedys-law.com,http://www.kennedys-law.com/casereviews/,,,kennedys-law.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,gtlaw,gtlaw.com.au,http://www.gtlaw.com.au/publications/,,,gtlaw.com.au,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,nortonrosefulbright,nortonrosefulbright.com,http://www.nortonrosefulbright.com/au/knowledge/publications/,,,nortonrosefulbright.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,allens,allens.com.au,http://www.allens.com.au/pubs/,,,allens.com.au,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,claytonutz,claytonutz.com,http://www.claytonutz.com/publications/,,,claytonutz.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,lawyerassist,lawyerassist.com.au,http://www.lawyerassist.com.au/category/cases/,,,lawyerassist.com.au,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,wilsonharle,wilsonharle.com,http://www.wilsonharle.com/papers/,,,wilsonharle.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,ecclblog,ecclblog.law.ed.ac.uk,http://www.ecclblog.law.ed.ac.uk/,ecclblog.law.ed.ac.uk,,/20,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,claytonutz.com,claytonutz.com,http://www.claytonutz.com/publications/news/news.page,,,claytonutz.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
